,fall,geolocation,id,mass,name,nametype,recclass,reclat,reclong,year
923,Fell,"{'latitude': '49.98333', 'longitude': '7.53333'}",23603,1222,Simmern,Valid,H5,49.983330,7.533330,1920-01-01T00:00:00.000
924,Fell,"{'latitude': '30.9', 'longitude': '32.48333'}",23606,1455,Sinai,Valid,L6,30.900000,32.483330,1916-01-01T00:00:00.000
925,Fell,"{'latitude': '26.21667', 'longitude': '69.55'}",23611,8400,Sindhri,Valid,H5,26.216670,69.550000,1901-01-01T00:00:00.000
926,Fell,"{'latitude': '39.3', 'longitude': '9.2'}",23613,2000,Sinnai,Valid,H6,39.300000,9.200000,1956-01-01T00:00:00.000
927,Fell,"{'latitude': '42.58333', 'longitude': '-103.66667'}",23614,4100,Sioux County,Valid,Eucrite-mmict,42.583330,-103.666670,1933-01-01T00:00:00.000
928,Fell,"{'latitude': '20.91667', 'longitude': '82.58333'}",23616,1600,Sitathali,Valid,H5,20.916670,82.583330,1875-01-01T00:00:00.000
929,Fell,"{'latitude': '39.82467', 'longitude': '36.13583'}",23617,40000,Sivas,Valid,H6,39.824670,36.135830,1989-01-01T00:00:00.000
930,Fell,"{'latitude': '32.43333', 'longitude': '119.86667'}",23619,630,Sixiangkou,Valid,L5,32.433330,119.866670,1989-01-01T00:00:00.000
931,Fell,"{'latitude': '59.73333', 'longitude': '10.86667'}",23621,850,Ski,Valid,L6,59.733330,10.866670,1848-01-01T00:00:00.000
932,Fell,"{'latitude': '45.68333', 'longitude': '15.6'}",23626,1708,Slavetic,Valid,H5,45.683330,15.600000,1868-01-01T00:00:00.000
933,Fell,"{'latitude': '55.0', 'longitude': '35.0'}",23645,2750,Slobodka,Valid,L4,55.000000,35.000000,1818-01-01T00:00:00.000
934,Fell,"{'latitude': '27.13333', 'longitude': '84.06667'}",23660,72.900000000000006,Soheria,Valid,OC,27.133330,84.066670,1960-01-01T00:00:00.000
935,Fell,"{'latitude': '43.66667', 'longitude': '21.86667'}",23661,80000,Soko-Banja,Valid,LL4,43.666670,21.866670,1877-01-01T00:00:00.000
